SiteID,StoreNumber,City,State,Address,MatchMethod,CoordinateDistanceMiles,CandidateCount
1339459,4679,Denham Springs,LA,34025 La Highway 16,Unique store number,0,1
2219717,7241,Denham Springs,LA,25820 La Highway 16,Unique store number,0,1
303668,935,Denham Springs,LA,904 S Range Ave,Unique store number,0,1
304933,147,Denison,TX,401 N Us Highway 75,Unique store number,0,1
303277,1732,Denison,IA,510 Avenue C,Unique store number,0,1
1406453,3128,Denver,CO,1442 S Parker Rd,Unique store number,0,1
322256,3533,Denver,CO,7800 Smith Rd,Unique store number,0,1
312111,3566,Denver,CO,9400 E Hampden Ave,Unique store number,0,1
787641,4274,Denver,NC,7131 Highway 73,Unique store number,0,1
2104748,5676,Denver,CO,2770 W Evans Ave,Unique store number,0,1
1935806,3155,Derby,KS,1106 S Rock Rd,Unique store number,0,1
2403293,4156,Derby,VT,115 Seymour Dr,Unique store number,0,1
303532,592,Derby,KS,2020 N Nelson Dr,Unique store number,0,1
303897,2957,Detroit Lakes,MN,1583 Highway 10 W,Unique store number,0,1
2278619,4762,Diamond Bar,CA,1180 S Diamond Bar Blvd,Unique store number,0,1
304052,2715,Diberville,MS,3615 Sangani Blvd,Unique store number,0,1
2219695,6166,Diberville,MS,10290 Diberville Blvd,Unique store number,0,1
304611,1884,Scranton,PA,900 Commerce Blvd,Unique store number,0,1
787697,1627,Dilworth,MN,415 34th St N,Unique store number,0,1
499078,5139,DIXON,CA,235 E Dorset Dr,Unique store number,0,1
646600,5399,DIXON,IL,1640 S Galena Ave,Unique store number,0,1
305272,847,Dodgeville,WI,601 E Leffler St,Unique store number,0,1
456216,5110,Draper,UT,1360 E Draper Pkwy,Unique store number,0,1
304612,1769,Du Bois,PA,20 Industrial Dr,Unique store number,0,1
302831,2401,Duarte,CA,1600 Mountain Ave,Unique store number,0,1
304935,812,Dumas,TX,2003 S Dumas Ave,Unique store number,0,1
303778,2435,DUNDALK,MD,2399 N Point Blvd,Unique store number,0,1
303035,960,Dunnellon,FL,11012 N Williams St,Unique store number,0,1
304793,677,Dyersburg,TN,2650 Lake Rd,Unique store number,0,1
303182,2513,Dahlonega,GA,270 Walmart Way,Unique store number,0,1
2304403,2105,Dallas,TX,4122 Lyndon B Johnson Fwy,Unique store number,0,1
304573,2315,Dallas,OR,321 NE Kings Valley Hwy,Unique store number,0,1
304928,2427,Dallas,TX,9301 Forest Ln,Unique store number,0,1
304929,2667,Dallas,TX,7401 Samuell Blvd,Unique store number,0,1
304930,2996,Dallas,TX,18121 Marsh Ln,Unique store number,0,1
1992791,3014,Dallas,TX,200 Short Blvd,Unique store number,0,1
680089,3403,Dallas,GA,3615 Charles Hardy Pkwy,Unique store number,0,1
466454,5021,Dallas,TX,2275 Gus Thomasson Rd,Unique store number,0,1
466390,5147,Dallas,TX,1521 N Cockrell Hill Rd,Unique store number,0,1
2104750,5810,Dallas,TX,7075 W Wheatland Rd,Unique store number,0,1
1052058,5823,Dallas,TX,6185 Retail Rd Ste 200,Unique store number,0,1
1815431,5889,Dallas,TX,9410 Webb Chapel Rd,Unique store number,0,1
2219673,7004,Dallas,NC,1300 Dallas Cherryville Hwy,Unique store number,0,1
2329160,8930,Dallas,TX,15757 Coit Rd,Unique store number,0,1
680090,3406,Dallas,TX,15220 Montfort Rd,Unique store number,0,1
2311819,4528,Dalton,GA,98 W Walnut Ave,Unique store number,0,1
513557,5173,Dalton,GA,815 Shugart Rd,Unique store number,0,1
303183,669,Dalton,GA,2545 E Walnut Ave,Unique store number,0,1
2388292,4563,Dania Beach,FL,401 E Sheridan St,Unique store number,0,1
303735,2180,Danvers,MA,55 Brooksby Village Way,Unique store number,0,1
302618,934,Daphne,AL,27520 Us Highway 98,Unique store number,0,1
302704,296,Dardanelle,AR,1172 State Highway 7 N,Unique store number,0,1
303352,2215,Darien,IL,2189 75th St,Unique store number,0,1
2353243,7188,Darlington,SC,251 Andover Pl,Unique store number,0,1
303275,1241,Davenport,IA,5811 Elmore Ave,Unique store number,0,1
499068,5115,Davenport,IA,3101 W Kimberly Rd,Unique store number,0,1
1831094,2987,Fort Lauderdale,FL,4301 S University Dr,Unique store number,0,1
4476170,4826,Hollywood,FL,8550 Stirling Rd,Duplicate store number resolved by coordinates,0.14,2
703945,3783,Dayton,OH,3465 York Commons Blvd,Unique store number,0,1
303030,1391,Daytona Beach,FL,1101 Beville Rd,Unique store number,0,1
764447,3862,Daytona Beach,FL,1905 N Nova Rd,Unique store number,0,1
303032,860,DELAND,FL,1699 N Woodland Blvd,Unique store number,0,1
466386,5090,De Pere,WI,1415 Lawrence Dr,Unique store number,0,1
2434564,3606,Debary,FL,185 N Charles Richard Beall Blvd,Unique store number,0,1
302705,279,De Queen,AR,926 E Collin Raye Dr,Unique store number,0,1
773976,4383,Dearborn,MI,5851 Mercury Dr,Unique store number,0,1
303458,1647,Decatur,IN,1700 S 13th St,Unique store number,0,1
303353,1690,Decatur,IL,4224 N Prospect St,Unique store number,0,1
1907801,2488,Decatur,AL,1203 6th Ave SE,Unique store number,0,1
303354,2728,Decatur,IL,4625 E Maryland St,Unique store number,0,1
2311797,3118,Decatur,GA,2525 N Decatur Rd,Unique store number,0,1
304931,421,Decatur,TX,800 US Hwy 81/287 & FM Hwy 51,Unique store number,0,1
302619,662,Decatur,AL,2800 Spring Ave SW,Unique store number,0,1
303276,913,Decorah,IA,1798 Old Stage Rd,Unique store number,0,1
1935804,3104,Deerfield Beach,FL,1101 S Military Trl,Unique store number,0,1
760318,5385,Defiance,OH,1804 N Clinton St,Unique store number,0,1
